qid,Len,Den,Lde,Dde,P31,P1476,P407
,Augmanitai,"A framework concept describing the conscious, productive collaboration between humans and AI in everyday contexts. The term combines ""augmentation"" (enhancement) with ""humanitai"" (a neologism for huma",Augmanitai,"Ein Rahmenkonzept, das die bewusste, produktive Zusammenarbeit zwischen Mensch und KI im Alltag beschreibt. Der Begriff verbindet ""Augmentation"" (Erweiterung) mit ""Humanitai"" (ein Neologismus für mens",Q66836282,Augmanitai,Q1860
,Mentale Externalisierungsstrategie,"The deliberate outsourcing of thinking processes to an AI system in order to free up internal capacity. The user consciously shifts subtasks such as research, structuring, or drafting to the external ",Mentale Externalisierungsstrategie,"Die gezielte Auslagerung von Denkprozessen an ein KI-System, um interne Kapazität freizusetzen. Der Nutzer verlagert Teilaufgaben wie Recherche, Strukturierung oder Formulierung bewusst nach außen — n",Q66836282,Mentale Externalisierungsstrategie,Q1860
,Fluide Identitätsmorphologie,"The observation that a user's working style, language, and partly their way of thinking may gradually shift through intensive AI collaboration. This change is not inherently negative — it can unlock n",Fluide Identitätsmorphologie,"Die Beobachtung, dass sich der Arbeitsstil, die Sprache und teilweise die Denkweise eines Nutzers durch intensive KI-Zusammenarbeit schrittweise verändern können. Diese Veränderung ist nicht zwangsläu",Q66836282,Fluide Identitätsmorphologie,Q1860
,Zero-Point Self,"The baseline state of one's knowledge, skills, and thinking style before any AI use. Serves as a personal reference point to measure changes caused by AI collaboration. The central question of this co",Zero-Point Selbst,"Der Ausgangszustand des eigenen Wissens, der eigenen Fähigkeiten und des eigenen Denkstils vor jeglicher KI-Nutzung. Dient als persönliche Referenzlinie, um Veränderungen durch KI-Zusammenarbeit überh",Q66836282,Zero-Point Self,Q1860
,The Integrated Operator,A user type who does not treat AI as a separate tool but has seamlessly integrated it into their entire working and thinking process. The Integrated Operator moves fluidly between their own thinking a,Integrated Operator,"Ein Nutzertyp, der KI nicht als separates Werkzeug behandelt, sondern sie nahtlos in seinen gesamten Arbeits- und Denkprozess integriert hat. Der Integrated Operator wechselt fließend zwischen eigenem",Q66836282,The Integrated Operator,Q1860
,Platform Ontology,"The observation that every AI platform carries its own implicit ""worldview"" — favoring certain patterns of thought, omitting others, and thereby influencing the direction of collaboration. Users who r",Platform Ontology,"Die Beobachtung, dass jede KI-Plattform eine eigene implizite ""Weltsicht"" mitbringt — bestimmte Denkmuster bevorzugt, andere ausblendet und damit die Richtung der Zusammenarbeit beeinflusst. Wer nur e",Q66836282,Platform Ontology,Q1860
,The Blending Effect,"The process by which the boundary between one's own thoughts and AI-generated content increasingly blurs for the user. After intensive collaboration, it can become difficult to distinguish which part ",Blending Effekt,"Der Prozess, bei dem die Grenze zwischen eigenem Gedanken und KI-generiertem Inhalt für den Nutzer zunehmend verschwimmt. Nach intensiver Zusammenarbeit kann es schwierig werden zu unterscheiden, welc",Q66836282,The Blending Effect,Q1860
,The Polyphonic Sovereign,"A user who deliberately employs multiple AI systems simultaneously, orchestrating their different ""voices"" without surrendering their own decision-making authority. The name combines ""polyphonic"" (man",Polyphonic Sovereign,"Ein Nutzer, der bewusst mehrere KI-Systeme gleichzeitig einsetzt und deren unterschiedliche ""Stimmen"" orchestriert, ohne die eigene Entscheidungshoheit abzugeben. Der Name verbindet ""polyphon"" (vielst",Q66836282,The Polyphonic Sovereign,Q1860
,The Speed Limit,"The upper limit of productive working speed in AI-assisted work. Although AI can massively increase production speed, a point exists beyond which human processing capacity cannot keep up and decision ",Speed Grenze,"Die Obergrenze der sinnvollen Arbeitsgeschwindigkeit bei KI-gestützter Arbeit. Obwohl KI die Produktionsgeschwindigkeit massiv erhöhen kann, existiert ein Punkt, ab dem die menschliche Verarbeitungska",Q66836282,The Speed Limit,Q1860
,Bridge Species,"A metaphor for people who work in both the pre-AI and the AI era, functioning as a living bridge between two working worlds. Bridge Species possess the unique ability to consciously perceive AI-driven",Bruecke Species,"Dieses Phänomen gehört zu den Beobachtungen, die in der KI-Interaktionsforschung erst seit kurzem systematisch dokumentiert werden: Nutzer entwickeln im Umgang mit KI-Systemen Gewohnheiten und Erwartu",Q66836282,Bridge Species,Q1860
