File,Domain,Definition (First 100 chars),Issue Type,Full Issue Description
aesthetic-algorithm-imbalance-display.html,AI Art,"When an AI tool keeps generating the same types of images even though you ask for different...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aesthetic-algorithm-imbalance-display.html,AI Art,"When an AI tool keeps generating the same types of images even though you ask for different...",Prescriptive language,Uses "you/your" language addressing the reader
aesthetic-consensus-in-ai-generated-art.html,AI Art,"When different people using the same AI tool mostly agree on which outputs look good and w...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aesthetic-preference-algorithm-optimization.html,AI Art,"When AI companies deliberately tune their tools to prefer certain styles because those sel...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aesthetic-training-data-contamination.html,AI Art,"When training data includes low-quality images, plagiarized work, or images from only one...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-community-identity-formation.html,AI Art,"When people who use AI art tools start to develop their own style and values as a group, t...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-community-legitimacy-building.html,AI Art,"The process where AI artists work to get their work taken seriously by galleries, museums,...",Generic boilerplate,Uses vague "The process where..." opening that could apply to any term
ai-art-copyright-enforcement-challenge.html,AI Art,"When an AI generated image wins a contest or gets sold, it's unclear whether the person w...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-market-speculation-effect.html,AI Art,"When AI art tools become trendy, prices go up fast. People buy pieces as investments, ho...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-ownership-legal-ambiguity.html,AI Art,"When someone uses Midjourney or DALL-E to make an image, nobody is sure if that person a...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-style-clustering-effect.html,AI Art,"AI art tools tend to make images that look similar to each other. After a while, you can...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artist-attribution-framework.html,AI Art,"When an AI artwork is displayed, how should credit work? Do you list the person who wrote...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
